feature,CL,CD,Cm
CL:base:1,41.37324486624486,0.0,0.0
CL:base:alpha,2.849822344310693,0.0,0.0
CL:res:alpha^2,-31.237044832133616,0.0,0.0
CL:res:gamma^2,14.312151950494487,0.0,0.0
CL:res:cos(alpha),-69.73722950274026,0.0,0.0
CL:res:cos(gamma),28.471118262327163,0.0,0.0
CD:base:1,0.0,-19351.17460096096,0.0
CD:base:alpha,0.0,64.8064279576494,0.0
CD:base:alpha^2,0.0,9608.182334000123,0.0
CD:res:V,0.0,0.051787432251038656,0.0
CD:res:gamma,0.0,22.00816621511628,0.0
CD:res:Q,0.0,5.334234544096038,0.0
CD:res:delta_e,0.0,-0.2943970909904072,0.0
CD:res:V alpha,0.0,-2.4973381730146826,0.0
CD:res:V gamma,0.0,0.1253202796686426,0.0
CD:res:alpha Q,0.0,-58.27042640381444,0.0
CD:res:gamma^2,0.0,-210.16892566879986,0.0
CD:res:Q^2,0.0,-10.150663879680751,0.0
CD:res:delta_e^2,0.0,0.7940948334609287,0.0
CD:res:sin(gamma),0.0,-24.10605596704267,0.0
CD:res:cos(alpha),0.0,19770.286877273997,0.0
CD:res:cos(gamma),0.0,-420.51547276476066,0.0
Cm:base:1,0.0,0.0,-0.0001445863020272528
Cm:base:alpha,0.0,0.0,0.0031390660570242866
Cm:base:Q,0.0,0.0,-0.0002103014083327871
Cm:base:delta_e,0.0,0.0,-0.00041484589158750766
