feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-20423.34311198982,0.011255801711616284,-0.014693935163679376,0.09289101581632278
V,0.0,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,-6.6225995815777505,6.3893148232870915,-0.8631590295535794
Q,0.0,0.0,1.0028564568661311,-1.789031373130605
T,0.5046752424851411,0.0,0.0,0.0
delta_e,0.0,0.009499303032188345,0.0,0.23462538951993966
V alpha,0.0,0.0,0.0,0.0
V gamma,-0.7670299372393228,0.0,0.0,0.0
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,2.534986369020944
T alpha,0.0,-0.13648518901617115,0.1524303988012006,0.0
alpha^2,0.0,0.0,0.0,-24.289339432848493
gamma^2,10223.142818761138,0.0,0.0,0.0
Q^2,89.16385072603039,-0.5487736144790206,0.5813555628057383,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,6.7325137986810955,-6.503379720658723,0.0
cos(alpha),0.0,0.0,0.0,0.0
cos(gamma),20422.21568453773,0.0,0.0,0.0
