feature,CL,CD,Cm
CL:base:1,-607922.5777641188,0.0,0.0
CL:base:alpha,30.32682010942818,0.0,0.0
CL:res:gamma,-30.230589185327027,0.0,0.0
CL:res:alpha^2,304254.5621779903,0.0,0.0
CL:res:gamma^2,-694.9285337685006,0.0,0.0
CL:res:sin(gamma),30.24125972458015,0.0,0.0
CL:res:cos(alpha),609311.411282616,0.0,0.0
CL:res:cos(gamma),-1389.2481166445962,0.0,0.0
CD:base:1,0.0,6061036.034932638,0.0
CD:base:alpha,0.0,-435.56521848590353,0.0
CD:base:alpha^2,0.0,-3045407.4562566057,0.0
CD:res:V,0.0,-0.31189010511928433,0.0
CD:res:gamma,0.0,-300.5672632162102,0.0
CD:res:V alpha,0.0,5.594333047763082,0.0
CD:res:V gamma,0.0,1.3360429268893885,0.0
CD:res:gamma^2,0.0,19614.89930931681,0.0
CD:res:sin(gamma),0.0,280.04593394504576,0.0
CD:res:cos(alpha),0.0,-6100255.63663716,0.0
CD:res:cos(gamma),0.0,39231.71303078469,0.0
Cm:base:1,0.0,0.0,247.5933917528
Cm:base:alpha,0.0,0.0,-0.00829134906955537
Cm:base:Q,0.0,0.0,-0.0029175361127376505
Cm:base:delta_e,0.0,0.0,0.0010002987950529893
Cm:res:alpha^2,0.0,0.0,-123.74464653503628
Cm:res:cos(alpha),0.0,0.0,-247.59296607308428
