feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-3.0508740786971527,0.0672979322732366,-0.06627075076181513,0.3477229661168806
V,0.20308856886566948,-0.0036707065000689838,0.0035998466223453205,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.0,-1.067907793338029
Q,0.0,0.48733410402060706,0.5146585196275401,-2.5349170625487627
T,0.0,-0.012454237096840634,0.012468773160050588,0.025685266752917737
delta_e,0.0,-0.13725134312886478,0.13671353313405096,1.0502678420345402
V alpha,0.0,0.0,0.0,-0.3881973593099167
V gamma,0.0,0.007681763173840519,-0.007678017315953033,0.0
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,0.0,0.0,0.0
alpha^2,0.0,0.0,0.0,0.0
gamma^2,0.0,0.0,0.0,0.0
Q^2,0.0,0.0,0.0,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,0.0,0.0,0.0
cos(alpha),0.0,0.0,0.0,0.0
cos(gamma),0.0,0.0,0.0,0.0
