feature,CL,CD,Cm
CL:base:1,-7657.5899371835985,0.0,0.0
CL:base:alpha,8.451939936658704,0.0,0.0
CL:res:V alpha,-0.28540401717342895,0.0,0.0
CL:res:alpha^2,3804.2019669408514,0.0,0.0
CL:res:cos(alpha),7657.706060819331,0.0,0.0
CD:base:1,0.0,-1121.2620722613099,0.0
CD:base:alpha,0.0,-0.056165667643301095,0.0
CD:base:alpha^2,0.0,682.7040793886757,0.0
CD:res:gamma,0.0,1.735114911719451,0.0
CD:res:gamma^2,0.0,-120.0422727298714,0.0
CD:res:sin(gamma),0.0,-1.722988056534469,0.0
CD:res:cos(alpha),0.0,1363.078621292547,0.0
CD:res:cos(gamma),0.0,-241.78184067052044,0.0
Cm:base:1,0.0,0.0,0.0023748117134186654
Cm:base:alpha,0.0,0.0,-0.02633027897852305
Cm:base:Q,0.0,0.0,-0.021668797728930832
Cm:base:delta_e,0.0,0.0,0.024163194265297196
