feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-9503.379598583575,0.007645298772926208,-0.0076129702570771,-110.88443687300197
V,0.0,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,2.038107981003064,-2.0372914470839625,0.0
Q,0.0,0.050732689048620445,0.9492180007497453,-6.297760014911003
T,1.2347452492750335,-0.005603024598488289,0.005580087422837745,0.0
delta_e,0.0,0.0,0.0,6.948469703873108
V alpha,2.315626910617775,0.0,0.0,-0.2986111553453569
V gamma,0.0,-0.00822559570304407,0.008219491599659453,0.0
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,0.0,0.0,0.0
alpha^2,0.0,0.0,0.0,0.0
gamma^2,4719.2872675169865,0.0,0.0,0.0
Q^2,0.0,0.0,0.0,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),-11.189549934662912,-1.8621226231047332,1.8614194526525838,0.15538720041735396
cos(alpha),0.0,0.0,0.0,111.53026793071521
cos(gamma),9499.90258146145,0.0,0.0,0.0
