feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-73347.54272345056,-8849.636631858059,-791.1213054283571,-37052.463685288065
V,-0.48434271532750994,0.0,0.04020237650620582,0.2339254978462344
alpha,5032.3263029396985,390.74736721222763,41.88809684127389,1941.7666204411548
gamma,-1044.400212014226,48.824260699172505,27.449556016681477,-153.48751743110822
Q,28.987199712947387,0.0,2.312344501918144,-17.725375250288803
T,1.7608870303085935,0.0,0.0,0.0
delta_e,-14.710826705847664,0.0,-2.1289077302050297,16.021784606607714
V alpha,8.111200928274865,0.0,0.47632041007045733,-5.575083692226195
V gamma,0.36989185303938615,0.0,0.0,-0.19376849363440574
alpha Q,-210.22523338935838,0.0,0.0,70.1042896366989
Q delta_e,466.2796406087064,0.0,52.17595201599804,-162.1779634901927
T alpha,-26.917868846376706,0.0,0.0,0.0
alpha^2,43535.62383033659,3825.963600539829,471.87171871326336,18553.188237358896
gamma^2,-6672.398441303192,577.2400696885919,-78.41472310127182,-727.5050562735969
Q^2,-261.0855288577098,0.0,-24.752711568704825,72.2445248897816
delta_e^2,-189.5149851037138,0.0,-27.657446494116872,91.38678358226933
sin(alpha),-5154.339113657489,-389.19634503185085,-43.00298960364806,-1796.974304568999
sin(gamma),1029.157763795768,-48.88081166723739,-27.480387194276812,156.79342637046187
cos(alpha),86675.35834540016,7694.322652405258,948.3972989767237,38500.34452826425
cos(gamma),-13322.211133137678,1155.279743142016,-158.274563082324,-1452.190819502597
