feature,CL,CD,Cm
CL:base:1,-874.6693932243932,0.0,0.0
CL:base:alpha,3.027595794405073,0.0,0.0
CL:res:gamma,-0.8066368640857469,0.0,0.0
CL:res:alpha^2,430.5993724656205,0.0,0.0
CL:res:gamma^2,8.483739256002972,0.0,0.0
CL:res:sin(gamma),0.7845220274411775,0.0,0.0
CL:res:cos(alpha),857.928482314959,0.0,0.0
CL:res:cos(gamma),16.84492994334729,0.0,0.0
CD:base:1,0.0,-29638.346941191106,0.0
CD:base:alpha,0.0,68.73774939017451,0.0
CD:base:alpha^2,0.0,14714.599146390985,0.0
CD:res:V,0.0,0.06158775166976132,0.0
CD:res:gamma,0.0,26.998497319949543,0.0
CD:res:Q,0.0,4.870767503831883,0.0
CD:res:V alpha,0.0,-2.552236482507029,0.0
CD:res:V gamma,0.0,0.12580727721856222,0.0
CD:res:alpha Q,0.0,-56.59274039170834,0.0
CD:res:gamma^2,0.0,-201.69950686764875,0.0
CD:res:Q^2,0.0,-10.190937829156471,0.0
CD:res:sin(gamma),0.0,-29.21768279017099,0.0
CD:res:cos(alpha),0.0,30040.58300981819,0.0
CD:res:cos(gamma),0.0,-403.8625995876872,0.0
Cm:base:1,0.0,0.0,-0.00015685979124466936
Cm:base:alpha,0.0,0.0,0.0033151130189718013
Cm:base:Q,0.0,0.0,-0.00010287772473336628
Cm:base:delta_e,0.0,0.0,-0.00041979442201205635
