feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-20922.462163116186,0.011142791075617355,-0.014648999973697488,29272.26946678062
V,0.0,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,-6.887156063817241,6.690642041495295,-1.6823931240634524
Q,0.0,0.0,1.00760246975527,0.0
T,0.45659212946010214,0.0,0.0,0.0
delta_e,0.0,0.00906469576278524,0.0,0.0
V alpha,0.0,0.0,0.0,0.0
V gamma,-0.7736114820430261,0.0,0.0,0.08315075544644758
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,-0.13411353464127743,0.15040418500491828,0.0
alpha^2,0.0,0.0,0.0,-14626.043337756222
gamma^2,10471.877262630607,0.0,0.0,0.0
Q^2,89.27600685135582,-0.5605031028677211,0.6076734387477286,5.591808927015967
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,6.998114171773649,-6.805398267911604,0.0
cos(alpha),0.0,0.0,0.0,-29272.296816348153
cos(gamma),20921.38176142598,0.0,0.0,0.0
