feature,CL,CD,Cm
CL:base:1,1082.581377673573,0.0,0.0
CL:base:alpha,2.9921485575494597,0.0,0.0
CL:res:alpha^2,-540.22877438656,0.0,0.0
CL:res:cos(alpha),-1082.4838959197416,0.0,0.0
CD:base:1,0.0,-804.8175745051345,0.0
CD:base:alpha,0.0,0.20014440777733455,0.0
CD:base:alpha^2,0.0,431.4222933634441,0.0
CD:res:gamma,0.0,-0.647169754461555,0.0
CD:res:gamma^2,0.0,-29.351467362527327,0.0
CD:res:sin(gamma),0.0,0.6445863021805333,0.0
CD:res:cos(alpha),0.0,863.7101354615012,0.0
CD:res:cos(gamma),0.0,-58.86289717887898,0.0
Cm:base:1,0.0,0.0,59.73755994251786
Cm:base:alpha,0.0,0.0,-0.02206011571240447
Cm:base:Q,0.0,0.0,-0.023612231330759098
Cm:base:delta_e,0.0,0.0,0.026614091814264274
Cm:res:alpha^2,0.0,0.0,-29.882407296860563
Cm:res:cos(alpha),0.0,0.0,-59.735216584880824
