feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,1.4833640416513028,0.0007311774606579781,-0.0007155666766008259,1.2305817057684694
V,-0.194433063915643,0.0,0.0,-0.0254946821653913
alpha,-6.889409776883765,0.0,0.0,-9.979341841562292
gamma,-9.81559430413123,0.0,0.0,0.0
Q,0.0,0.0,0.926772335502804,-6.053409643219152
T,1.3340084119677769,0.0,0.0,0.0
delta_e,0.0,0.0,0.0,7.073350426989875
V alpha,0.0,0.0,0.0,0.0
V gamma,0.0,-0.014735704091815141,0.013178037844354527,0.0
alpha Q,0.0,0.8465467778024951,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,0.0,0.0,0.0
alpha^2,0.0,0.0,0.0,0.0
gamma^2,0.0,0.0,0.0,0.0
Q^2,0.0,0.0,0.0,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,0.28929248442932637,-0.2609102996725229,0.12919383547892277
cos(alpha),0.0,0.0,0.0,0.0
cos(gamma),0.0,0.0,0.0,0.0
