method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.09589329027583098,0.0003625578643160761,0.003780847056902536,0.6828076055259633,202
EquationError-LS,direct,C_L_alpha,3.072493020582126,0.00512753759950662,0.0016688524807568605,0.9960276499378949,202
EquationError-LS,direct,C_D0,0.033193855580695264,7.228453133028207e-05,0.002177647943142857,0.47901248066276897,202
EquationError-LS,direct,k,0.09206889087011279,0.00034787309572736663,0.0037783999833139346,0.610927787903203,202
EquationError-LS,direct,C_M0,0.0025048735957063574,5.720172424427961e-07,0.00022836171989808174,0.6109277879038372,202
EquationError-LS,direct,C_M_alpha,-0.027566728471018577,7.818662487473189e-05,0.002836267820352022,0.9960276499374457,202
EquationError-LS,direct,C_M_Q,-0.02286972171787873,4.859742160794844e-05,0.0021249677721245164,0.8136855694656375,202
EquationError-LS,direct,C_M_delta_e,0.025736778075493794,8.100533717603059e-05,0.003147454469180925,0.7459879443551638,202
EquationError-LS,mocap,C_L0,0.09515551169618086,2.8887319630131694e-09,3.0358009867431684e-08,0.6245855635610124,202
EquationError-LS,mocap,C_L_alpha,3.116431455160964,2.176808531605167e-07,6.984939546802048e-08,0.3021171840178001,202
EquationError-LS,mocap,C_D0,0.0,2.4161210161146348e-09,2416.121016114635,0.6245855635610083,202
EquationError-LS,mocap,k,0.5,1.8055487718863328e-08,3.6110975437726656e-08,0.24684579632967601,202
EquationError-LS,mocap,C_M0,0.0024180287883199644,7.831096811631946e-09,3.2386284437386527e-06,0.12957935684097335,202
EquationError-LS,mocap,C_M_alpha,-0.02667929260316341,5.3214139942071365e-09,1.9945858660346068e-07,0.4531686316814489,202
EquationError-LS,mocap,C_M_Q,-0.02217545280514868,8.13730600097462e-09,3.669510639749059e-07,0.3021171840177858,202
EquationError-LS,mocap,C_M_delta_e,0.024716141167016602,7.949099956731763e-09,3.2161573698000005e-07,0.24468631286743728,202
