feature,CL,CD,Cm
CL:base:1,-66.17968634339934,0.0,0.0
CL:base:alpha,2.8973159784654094,0.0,0.0
CL:res:alpha^2,20.80802338417314,0.0,0.0
CL:res:gamma^2,15.67538165837536,0.0,0.0
CL:res:cos(alpha),35.119770208754574,0.0,0.0
CL:res:cos(gamma),31.165154844407482,0.0,0.0
CD:base:1,0.0,-27885.545632302055,0.0
CD:base:alpha,0.0,66.51053087415512,0.0
CD:base:alpha^2,0.0,13818.601951815614,0.0
CD:res:V,0.0,0.054031694620260556,0.0
CD:res:gamma,0.0,13.692577600476316,0.0
CD:res:Q,0.0,4.899342882831122,0.0
CD:res:V alpha,0.0,-2.5505009633516043,0.0
CD:res:V gamma,0.0,0.12836051917282296,0.0
CD:res:alpha Q,0.0,-57.01896977861947,0.0
CD:res:gamma^2,0.0,-173.16733468136965,0.0
CD:res:Q^2,0.0,-10.17902936681524,0.0
CD:res:sin(gamma),0.0,-15.820255841738405,0.0
CD:res:cos(alpha),0.0,28230.041533369997,0.0
CD:res:cos(gamma),0.0,-345.906803711249,0.0
Cm:base:1,0.0,0.0,0.00015947480072816015
Cm:base:alpha,0.0,0.0,-0.002421618785573966
Cm:base:Q,0.0,0.0,-0.0023170124073980786
Cm:base:delta_e,0.0,0.0,0.00023211480006595463
