feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-18770.77586676664,0.0194998315391595,-0.012012182575956017,0.12250662448213638
V,0.0,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.0,-2.2850356458951198
Q,-4.833139651605553,0.0,0.872947457612947,-1.7725505388310452
T,0.0,0.0,0.009217927937256634,0.0
delta_e,0.0,0.02526410841614212,0.0,0.3237678942261319
V alpha,0.0,-0.018469540900999684,0.0,0.0
V gamma,-0.7328652671137891,0.0,0.0,0.09149338197872643
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.34864155282112386,0.0
T alpha,0.0,-0.03945873233542246,0.0,0.0
alpha^2,0.0,0.0,0.0,-30.629350956653784
gamma^2,9408.72041440319,0.0,0.0,0.0
Q^2,77.05530451058075,-0.6120065428521679,0.2868519810247526,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,0.06390349017458644,-0.09314521366672968,0.0
cos(alpha),0.0,0.0,0.0,0.0
cos(gamma),18770.29562082586,0.0,0.0,0.0
