method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.08964435299754059,1.8560225301186808e-09,2.070428831328172e-08,0.3663869573998883,202
EquationError-LS,direct,C_L_alpha,3.3595299453924246,8.597793766702965e-08,2.5592252209255608e-08,0.558772521941348,202
EquationError-LS,direct,C_D0,0.02969656959859059,1.977961013360736e-09,6.660570699231911e-08,0.7989114087908705,202
EquationError-LS,direct,k,0.11297247149885922,1.1061525172600043e-09,9.79134564893691e-09,0.366386957399872,202
EquationError-LS,direct,C_M0,0.004234791441211653,2.55042362972111e-09,6.022548371334637e-07,0.2480426620556316,202
EquationError-LS,direct,C_M_alpha,-0.06459282510574639,1.4378258130288485e-09,2.2259837848475447e-08,0.7989114087908741,202
EquationError-LS,direct,C_M_Q,-0.03671778668117995,4.4571481187793354e-10,1.2138934619019095e-08,0.3013288439095185,202
EquationError-LS,direct,C_M_delta_e,0.0046956828254683045,2.717464132694919e-09,5.787154357947726e-07,0.6567804791349277,202
EquationError-LS,mocap,C_L0,0.08696794486425186,6.10570947113938e-05,0.0007020643618369704,0.9839861492141366,202
EquationError-LS,mocap,C_L_alpha,3.418790274425527,6.392213450075973e-05,1.869729622753792e-05,0.8698199155480897,202
EquationError-LS,mocap,C_D0,0.15368945135802278,1.9836087607807918e-05,0.0001290660317447509,0.9839861491915496,202
EquationError-LS,mocap,k,0.0,3.7554416917426666e-08,37554.416917426664,0.8446646915817272,202
EquationError-LS,mocap,C_M0,0.00043014208364459543,8.40778417506172e-08,0.00019546527751533946,0.7766135268832021,202
EquationError-LS,mocap,C_M_alpha,-0.006637383747264705,1.9947033030021204e-07,3.005255352041603e-05,0.9556188300983173,202
EquationError-LS,mocap,C_M_Q,-0.0016682149364525218,9.753351762395273e-07,0.0005846579807717037,0.8698199155450962,202
EquationError-LS,mocap,C_M_delta_e,0.00047351353181699675,1.2762797053991342e-07,0.0002695339456301726,0.9556188300966628,202
