feature,CL,CD,Cm
CL:base:1,241.93932986606498,0.0,0.0
CL:base:alpha,7.824921435134343,0.0,0.0
CL:res:Q,0.17381479104316647,0.0,0.0
CL:res:V alpha,-0.3080465184254152,0.0,0.0
CL:res:alpha^2,-128.5356948569672,0.0,0.0
CL:res:gamma^2,-0.6494593386955243,0.0,0.0
CL:res:cos(alpha),-240.6578243648394,0.0,0.0
CL:res:cos(gamma),-1.155015131954428,0.0,0.0
CD:base:1,0.0,102.98959335852204,0.0
CD:base:alpha,0.0,-0.6915527372222888,0.0
CD:base:alpha^2,0.0,-45.2658140306812,0.0
CD:res:V,0.0,-0.021322862520836608,0.0
CD:res:gamma,0.0,0.4995995335494719,0.0
CD:res:Q,0.0,0.3638437991334453,0.0
CD:res:V alpha,0.0,-0.1590753536632876,0.0
CD:res:alpha Q,0.0,-1.193420404378851,0.0
CD:res:gamma^2,0.0,-1.1462892775205245,0.0
CD:res:sin(gamma),0.0,-0.5660413123636895,0.0
CD:res:cos(alpha),0.0,-100.24372206818842,0.0
CD:res:cos(gamma),0.0,-2.217290812664778,0.0
Cm:base:1,0.0,0.0,-114.89892726962893
Cm:base:alpha,0.0,0.0,0.4166769917122262
Cm:base:Q,0.0,0.0,-0.08347060049133478
Cm:base:delta_e,0.0,0.0,0.09064627153195277
Cm:res:alpha^2,0.0,0.0,54.202588007524824
Cm:res:cos(alpha),0.0,0.0,114.88962520461857
