feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-2.300459055468859,-349.2354973901299,0.03823683819226283,0.3577455469134407
V,-0.1319707520587106,0.008002703412405577,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,-8.743909258599622,0.0,0.0,-1.3600538153384518
Q,0.0,0.0,0.9015558318513684,-2.8360696298916985
T,1.277618899546191,0.0,0.0,0.0
delta_e,0.0,0.0,0.0,3.551328483285745
V alpha,0.0,0.0,0.0,0.0
V gamma,0.0,0.0,0.01708586249870409,0.08412675576480402
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,0.0,0.0,0.0
alpha^2,-13.432481136527956,177.14669296292652,-3.0700053242504564,-51.264514199291824
gamma^2,0.0,0.0,0.0,0.0
Q^2,0.0,-0.31616470490248755,0.18888859608407177,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),0.0,0.11135097435929693,-0.30557308136835776,0.0
cos(alpha),0.0,349.11446735127686,0.0,0.0
cos(gamma),2.5455575784180993,0.0,0.0,0.0
