method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.08849037058803523,2.2451123739959978e-09,2.5371261969825666e-08,0.4538508032814127,202
EquationError-LS,direct,C_L_alpha,3.386663191811076,6.372208048712658e-08,1.881559425253921e-08,0.5186396607468285,202
EquationError-LS,direct,C_D0,0.029461145231140545,6.21722561603807e-09,2.1103136240156879e-07,0.2774529168601564,202
EquationError-LS,direct,k,0.11331672096936155,7.51315181587969e-09,6.630223458293581e-08,0.4538508032814148,202
EquationError-LS,direct,C_M0,0.003430136399119707,1.8745830960936165e-09,5.465039514389865e-07,0.5186396607468338,202
EquationError-LS,direct,C_M_alpha,-0.05020702508419598,2.12655873223057e-09,4.2355800381806766e-08,0.32803186182142086,202
EquationError-LS,direct,C_M_Q,-0.029333695117013624,1.7416808121329522e-09,5.9374749931275195e-08,0.35591588611709124,202
EquationError-LS,direct,C_M_delta_e,0.003149653140176671,5.663992806049827e-09,1.7982909717265313e-06,0.2774529168601554,202
EquationError-LS,mocap,C_L0,0.0872100177649314,1.3091468836868786e-05,0.00015011427783624513,0.9220396514355301,202
EquationError-LS,mocap,C_L_alpha,3.4261855711254765,0.0001381341455769001,4.031718151551379e-05,0.9220396517404519,202
EquationError-LS,mocap,C_D0,0.1495728914346932,1.1155724152288677e-05,7.458386372880616e-05,0.846497572194482,202
EquationError-LS,mocap,k,0.0,6.238315120086927e-08,62383.15120086927,0.5014732413565602,202
EquationError-LS,mocap,C_M0,9.63486069928365e-05,2.2459629002140413e-09,2.3310797844550347e-05,0.2552506962053756,202
EquationError-LS,mocap,C_M_alpha,-0.0009904178141857843,3.6864524582207454e-08,3.7221184892068535e-05,0.5671951120219472,202
EquationError-LS,mocap,C_M_Q,0.000313784240050172,5.916759799160753e-09,1.885614076160964e-05,0.5014732413625744,202
EquationError-LS,mocap,C_M_delta_e,-6.44807314530932e-05,1.4460142335437811e-08,0.00022425524663839937,0.32505335615635955,202
