method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.10815001967997276,0.0007388630723766332,0.006831834839817935,0.6409812422083616,202
EquationError-LS,direct,C_L_alpha,2.9733351580177976,0.006388923518641095,0.0021487397750680525,0.7397853521690548,202
EquationError-LS,direct,C_D0,0.035368148970734904,0.0010004219519333956,0.028285957310380788,0.9978945842021181,202
EquationError-LS,direct,k,0.038026451730936994,0.013560571057069154,0.3566088982747961,0.9978945842023912,202
EquationError-LS,direct,C_M0,0.00023748514835617403,6.045079362108593e-07,0.0025454557491074517,0.6101961630265379,202
EquationError-LS,direct,C_M_alpha,-0.003919136636080787,2.4532027361808032e-05,0.006259548885323003,0.6409812421974822,202
EquationError-LS,direct,C_M_Q,-0.002015886088975463,3.7049625732231e-05,0.018378829009659366,0.811031939042443,202
EquationError-LS,direct,C_M_delta_e,0.0006465115864948939,1.3211255809016467e-05,0.02043467756029274,0.5332824285930187,202
EquationError-LS,mocap,C_L0,0.08186976089828464,0.0009868838316641755,0.012054314326021843,0.8322883155029333,202
EquationError-LS,mocap,C_L_alpha,3.4867907683754136,0.0013841457328565437,0.00039696839437872356,0.3917220551493897,202
EquationError-LS,mocap,C_D0,0.0,0.00032613532726402883,326135327.26402885,0.6772593339476286,202
EquationError-LS,mocap,k,0.5,0.0006668322074202594,0.0013336644148405187,0.6772593339479857,202
EquationError-LS,mocap,C_M0,0.0006417663077810774,3.2978913149690885e-06,0.00513877290687264,0.8322883155050741,202
EquationError-LS,mocap,C_M_alpha,-0.010893405240915595,1.4806106698321663e-05,0.0013591807493500722,0.7479132979089527,202
EquationError-LS,mocap,C_M_Q,-0.003811272569504489,1.740490782757566e-05,0.004566691967097622,0.7479132979085941,202
EquationError-LS,mocap,C_M_delta_e,0.0013342179683198986,3.143190623274518e-05,0.023558299302718515,0.4767159613536825,202
