method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.09394804602336733,0.00034092646473201185,0.0036288829748222177,0.5862374388133162,202
EquationError-LS,direct,C_L_alpha,3.242069651627428,0.003266119347804976,0.0010074180072490039,0.9850033460337929,202
EquationError-LS,direct,C_D0,0.031111907183000533,7.72679893436441e-05,0.002483550394038946,0.6493246944902956,202
EquationError-LS,direct,k,0.09679354448847413,0.0006432488108076352,0.006645575530961481,0.6493246944908183,202
EquationError-LS,direct,C_M0,0.002185842964175706,5.314140816173548e-07,0.00024311631271176613,0.16695051896663593,202
EquationError-LS,direct,C_M_alpha,-0.02752685258914049,7.299768898205066e-05,0.00265187197648774,0.985003346033386,202
EquationError-LS,direct,C_M_Q,-0.019724969841250266,2.911685322093774e-05,0.0014761418372385288,0.6962139982025173,202
EquationError-LS,direct,C_M_delta_e,0.021832092290890094,5.109221414612453e-05,0.0023402344340328683,0.5122319280459143,202
EquationError-LS,mocap,C_L0,0.09222288731957237,9.415545558023786e-09,1.0209554083247113e-07,0.40118984253797674,202
EquationError-LS,mocap,C_L_alpha,3.310649436315983,1.9056211023722046e-07,5.756034092491343e-08,0.2840274831958208,202
EquationError-LS,mocap,C_D0,0.0,7.936358506908694e-09,7936.358506908695,0.33065290206661957,202
EquationError-LS,mocap,k,0.5,2.7355850627676982e-08,5.4711701255353965e-08,0.3670786301211569,202
EquationError-LS,mocap,C_M0,0.0021329512627089268,8.418692906589758e-09,3.9469691847987695e-06,0.23207778150057057,202
EquationError-LS,mocap,C_M_alpha,-0.02692410082462819,8.2136919998399e-09,3.0506838662283634e-07,0.323701822392629,202
EquationError-LS,mocap,C_M_Q,-0.019347297739877915,2.1626287012488256e-09,1.117793673475804e-07,0.40118984253798007,202
EquationError-LS,mocap,C_M_delta_e,0.021190294026449764,5.056230981099763e-09,2.38610704258684e-07,0.374480495077968,202
