method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.15892674671298543,0.011179052686839925,0.07034091440271406,0.9988620405086325,202
EquationError-LS,direct,C_L_alpha,2.0291375666628277,0.18598831534957802,0.09165880047031963,0.9988620405091533,202
EquationError-LS,direct,C_D0,0.03930896395264051,0.0025163479938657735,0.0640146099219881,0.9995780478035687,202
EquationError-LS,direct,k,0.013007600871894169,0.03187060993563158,2.4501528183029633,0.9995780478035471,202
EquationError-LS,direct,C_M0,0.0016335179239485283,0.00014993002097451585,0.0917835175093188,0.9696813298876608,202
EquationError-LS,direct,C_M_alpha,-0.02109252752773497,0.0022979909378601096,0.10894810661446036,0.9696813298951613,202
EquationError-LS,direct,C_M_Q,-0.016372677604692694,0.0012048288183967898,0.07358776905565312,0.5135995597415121,202
EquationError-LS,direct,C_M_delta_e,0.00945775567223957,0.000952581205653406,0.10071958281280462,0.5135995597437635,202
EquationError-LS,mocap,C_L0,0.13329324464523598,1.0338061400535405e-08,7.755877972698819e-08,0.20052530470026037,202
EquationError-LS,mocap,C_L_alpha,2.4818411529083835,1.455332829600305e-07,5.863924159267208e-08,0.3756967994589969,202
EquationError-LS,mocap,C_D0,0.0,7.476361256844338e-09,7476.361256844338,0.26504212855503306,202
EquationError-LS,mocap,k,0.5,1.4894565976111232e-08,2.9789131952222463e-08,0.3921379585054658,202
EquationError-LS,mocap,C_M0,0.0033002016833925227,5.357146379660751e-09,1.623278482227105e-06,0.21503633434574207,202
EquationError-LS,mocap,C_M_alpha,-0.049097209429072336,1.0891057286515143e-08,2.2182640140166767e-07,0.18901747496507948,202
EquationError-LS,mocap,C_M_Q,-0.017604024840916097,7.142865949089117e-09,4.0575186718024473e-07,0.1664113749465892,202
EquationError-LS,mocap,C_M_delta_e,0.00904357657072984,6.865515921998397e-09,7.59159373319082e-07,0.3921379585054677,202
