method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.1344182170395067,3.547763722758405e-09,2.639347404612342e-08,0.1976679827661653,202
EquationError-LS,direct,C_L_alpha,3.1482808462243472,9.568285203241658e-08,3.0392095466059384e-08,0.3193864152783155,202
EquationError-LS,direct,C_D0,0.012824098674475379,3.034397372423047e-09,2.3661681412843475e-07,0.3193864152783151,202
EquationError-LS,direct,k,0.2209196259142021,5.864705182143765e-09,2.654678215153878e-08,0.1191141509091795,202
EquationError-LS,direct,C_M0,0.0228717772298166,2.282899967237591e-09,9.981296793418869e-08,0.30404931557504605,202
EquationError-LS,direct,C_M_alpha,-0.27955167518907864,7.027208817129834e-09,2.513742338469939e-08,0.30404931557505566,202
EquationError-LS,direct,C_M_Q,-0.03741200816550733,2.5139474289286736e-09,6.719627072161426e-08,0.16344393744221242,202
EquationError-LS,direct,C_M_delta_e,0.059840753391688456,2.719140941956681e-09,4.543961744863918e-08,0.1431218191218446,202
EquationError-LS,mocap,C_L0,0.13523861448648497,2.3764754871520627e-09,1.7572462540937632e-08,0.12582263675064181,202
EquationError-LS,mocap,C_L_alpha,3.1538445301380547,9.53535073454207e-08,3.0234054479929214e-08,0.16062488479962536,202
EquationError-LS,mocap,C_D0,0.0,3.1203520898102587e-09,3120.352089810259,0.2211215782753933,202
EquationError-LS,mocap,k,0.26449806928238156,3.4315140115238964e-09,1.2973682646659955e-08,0.1288644263709664,202
EquationError-LS,mocap,C_M0,0.02158064621495061,2.8862633536611665e-09,1.337431384080438e-07,0.2211215782753923,202
EquationError-LS,mocap,C_M_alpha,-0.26072485525316996,6.832265930774812e-09,2.6204889150827302e-08,0.29075559423246633,202
EquationError-LS,mocap,C_M_Q,-0.034615589452972134,2.7645849549175477e-09,7.986531498108513e-08,0.1288644263709661,202
EquationError-LS,mocap,C_M_delta_e,0.05428998522105058,2.990680344017181e-09,5.508714603329022e-08,0.2907555942324669,202
