feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,1.3681448130810758,0.0034749487517859146,0.0015187192249761223,-0.01919351850303684
V,-0.10209931135601187,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.9381879142021585,0.0
T,0.0,0.0,0.0,0.0
delta_e,0.0,0.07317792930586096,0.0,0.0
V alpha,0.0,0.0,0.0,0.0
V gamma,0.0,0.0,0.0,0.0
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,0.0,0.0,0.0,0.0
T alpha,0.0,0.0,0.0,0.0
alpha^2,0.0,0.0,0.0,0.0
gamma^2,0.0,0.0,0.0,0.0
Q^2,0.0,0.0,0.0,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),-9.889786057028026,0.0,0.0,-0.6770796224317565
cos(alpha),0.0,0.0,0.0,0.0
cos(gamma),0.0,0.0,0.0,0.0
