case,feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
noise_only,1,-28568.7356215201,-6836.231782129587,2745.3041884507884,9474.084514081322
noise_only,V,0.3180979435125233,0.0,0.0,-0.29601785313843865
noise_only,alpha,1155.2022059037467,113.39346287784221,-215.58695621781789,166.48049172316985
noise_only,gamma,-409.031813514094,124.16256625530103,-193.5320381439273,581.1463888052081
noise_only,Q,-18.487841528183807,0.0,0.0,-1.154486572168091
noise_only,T,3.733206597131788,0.0,0.0,-6.600438172888386
noise_only,delta_e,2.718190360289101,0.0,0.0,0.0
noise_only,V alpha,-16.737706627849107,0.0,0.0,2.5031026785858583
noise_only,V gamma,-1.3255336488706166,0.056808959794232186,-0.14822737755321289,-1.221126022776696
noise_only,alpha Q,231.1186098270262,0.0,22.614296287974533,23.190491412415984
noise_only,gamma Q,37.27599197391054,0.0,0.0,0.0
noise_only,Q delta_e,-198.938576276215,0.0,16.468048351927727,-41.172274616693144
noise_only,T alpha,4.92890533786572,0.0,0.0,113.84168617237707
noise_only,alpha^2,9080.084605020693,991.9903243742594,-1698.8131927606667,2274.0043466069264
noise_only,gamma^2,4447.634296844609,2431.741117147106,338.4197303236973,-6639.59387206194
noise_only,Q^2,154.29712079449007,0.0,-10.119780253917941,40.630510048843114
noise_only,sin(alpha),-841.5225971739134,-115.55186162975198,214.33130871986282,-417.05701472168454
noise_only,sin(gamma),414.17890985839944,-124.96792470068837,196.06023232111232,-566.3839296222072
noise_only,cos(alpha),19516.188976443656,1969.1614146754043,-3426.333770137994,3826.032233724803
noise_only,cos(gamma),9040.59396856644,4867.178960959259,681.0553497522794,-13284.546349465321
lag_limit_gust_mismatch,1,16025.250078169698,-393.1916665085465,-1190.6888007215332,6136.441767804119
lag_limit_gust_mismatch,V,1.4196278245044973,-0.09783417184825288,0.11235310978850716,-0.31378723892554167
lag_limit_gust_mismatch,alpha,-221.42387242110638,-53.496951320711126,4.33554327757212,11.569767581835945
lag_limit_gust_mismatch,gamma,-712.9349312576124,2.053879402477285,-19.21256714903897,431.0588105649234
lag_limit_gust_mismatch,Q,-24.52317579384118,0.0,0.0,9.23341946624589
lag_limit_gust_mismatch,T,8.121282512852263,-0.8406226066370489,0.984853407101753,-8.101013331783847
lag_limit_gust_mismatch,delta_e,-8.643956100177508,0.0,1.2010227220216254,1.8198974152452019
lag_limit_gust_mismatch,V alpha,-19.831411093407024,1.3051375003568892,-1.860910084039499,0.4178538626711886
lag_limit_gust_mismatch,V gamma,3.287420691664672,-0.14707323839261305,0.17880261697524302,-1.1943732304339894
lag_limit_gust_mismatch,alpha Q,519.5900654750748,0.0,0.0,-108.89695011570318
lag_limit_gust_mismatch,gamma Q,-70.66933473911966,0.0,0.0,0.0
lag_limit_gust_mismatch,Q delta_e,114.0836101552097,0.0,0.0,0.0
lag_limit_gust_mismatch,T alpha,-137.5449557651182,13.01027491815127,-13.021341706791729,133.89837083693402
lag_limit_gust_mismatch,alpha^2,-4683.817544790019,736.6402694887786,-227.85802769071654,147.09392596758843
lag_limit_gust_mismatch,gamma^2,-5020.458847132179,-426.2590431973766,747.2809137460571,-3049.4045204505364
lag_limit_gust_mismatch,Q^2,-36.224372344508794,0.0,0.0,0.0
lag_limit_gust_mismatch,sin(alpha),935.0646205270162,0.0,48.95355912145251,-245.92612279129415
lag_limit_gust_mismatch,sin(gamma),660.0292444003355,0.0,16.815856584144417,-416.0840959211402
lag_limit_gust_mismatch,cos(alpha),-5973.017610092979,1248.700651005547,-310.06548612370653,0.0
lag_limit_gust_mismatch,cos(gamma),-10092.665002604788,-852.3128574430359,1497.5681468590296,-6118.4889800842175
